Buah,Air (g),Energi (kcal),Karbohidrat(g),Protein (g),Lemak Total (g),Serat Pangan (g),Vitamin C (mg),Vitamin A / ?-karoten (µg),Kalium (mg)
Semangka,"92,0","28,0","6,9","0,5","0,2","0,4","6,0","590,0","93,8"
Melon,"91,0","37,0","7,8","0,6","0,4","1,0","58,1","0,0","167,0"
Pepaya,"87,0","46,0","12,2","0,5","0,1","1,6","78,0","365,0","221,0"
Apel,"84,0","58,0","14,9","0,3","0,4","2,6","5,0","90,0","130,0"
Jeruk,"87,0","45,0","11,2","0,9","0,2","1,4","49,0","190,0","472,1"
Jambu biji,"86,0","64,0","12,2","0,9","0,3","2,4","87,0","25,0","52,8"
Alpukat,"84,0","85,0","7,7","0,9","6,5","0,6","13,0","180,0","278,0"
Salak,"78,0","77,0","20,9","0,4","0,7","0,0","93,0","0,0","4,0"
Pisang,"64,0","127,0","33,6","1,4","0,2","1,4","2,0","79,0","392,0"
Mangga,"87,0","52,0","12,3","0,7","0,0","1,6","12,0","316,0","140,0"
